ID	Function	Source	Count
PRK05201.1	ATP-dependent protease ATPase subunit HslU	PRK05201	25
PRK05205.1-4	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	PRK05205	26
PRK05205.1-5	bifunctional pyr operon transcriptional regulator/uracil phosphoribosyltransferase PyrR	PRK05205	9
PRK05234.1	methylglyoxal synthase	PRK05234	5
PRK05254.1-2	uracil-DNA glycosylase	PRK05254	2
PRK05254.1-5	uracil-DNA glycosylase	PRK05254	14
PRK05261.1-3	phosphoketolase	PRK05261	169
PRK05261.1-5	phosphoketolase	PRK05261	2
PRK05261.1-6	phosphoketolase	PRK05261	1
PRK05270.1-2	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	4
PRK05270.1-3	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	1
PRK05270.1-5	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	12
PRK05270.2-2	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	13
PRK05270.3-2	UDP-glucose--hexose-1-phosphate uridylyltransferase	PRK05270	11
PRK05291.1-3	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	PRK05291	7
PRK05293.1	glucose-1-phosphate adenylyltransferase	PRK05293	25
PRK05294.1	carbamoyl-phosphate synthase large subunit	PRK05294	36
PRK05298.1	excinuclease ABC subunit UvrB	PRK05298	30
PRK05305.1-3	phosphatidylserine decarboxylase	PRK05305	2
PRK05309.1	30S ribosomal protein S11	PRK05309	17
PRK05322.1	galactokinase	PRK05322	28
PRK05326.1-2	potassium/proton antiporter	PRK05326	2
PRK05326.1-3	potassium/proton antiporter	PRK05326	2
PRK05327.1	30S ribosomal protein S4	PRK05327	18
PRK05335.1	methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO	PRK05335	13
PRK05339.1	pyruvate, phosphate dikinase/phosphoenolpyruvate synthase regulator	PRK05339	9
PRK05342.1	ATP-dependent Clp protease ATP-binding subunit ClpX	PRK05342	24
PRK05362.1	phosphopentomutase	PRK05362	3
PRK05380.1	CTP synthase	PRK05380	22
PRK05382.1	chorismate synthase	PRK05382	1
PRK05399.1	DNA mismatch repair protein MutS	PRK05399	15
PRK05416.1	RNase adapter RapZ	PRK05416	5
PRK05422.1	SsrA-binding protein SmpB	PRK05422	23
PRK05427.1	manganese-dependent inorganic pyrophosphatase	PRK05427	14
PRK05441.1	N-acetylmuramic acid 6-phosphate etherase	PRK05441	13
PRK05443.1-4	RNA degradosome polyphosphate kinase	PRK05443	1
PRK05443.3-1	RNA degradosome polyphosphate kinase	PRK05443	1
PRK05454.1-3	glucans biosynthesis glucosyltransferase MdoH	PRK05454	3
PRK05454.2-1	glucans biosynthesis glucosyltransferase MdoH	PRK05454	2
PRK05454.2-5	glucans biosynthesis glucosyltransferase MdoH	PRK05454	1
PRK05458.1	GMP reductase	PRK05458	22
PRK05469.1	tripeptide aminopeptidase PepT	PRK05469	2
PRK05472.1-1	redox-sensing transcriptional repressor Rex	PRK05472	3
PRK05472.1-3	redox-sensing transcriptional repressor Rex	PRK05472	11
PRK05473.1	IreB family regulatory phosphoprotein	PRK05473	8
PRK05474.1	xylose isomerase	PRK05474	5
PRK05477.1-1	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	PRK05477	57
PRK05478.1	3-isopropylmalate dehydratase large subunit	PRK05478	1
PRK05480.1	uridine kinase	PRK05480	11
PRK05550.1	bifunctional methionine sulfoxide reductase B/A protein	PRK05550	1
PRK05560.1	DNA gyrase subunit A	PRK05560	29
PRK05561.1	DNA topoisomerase 4 subunit A	PRK05561	28
PRK05563.1	DNA polymerase III subunit gamma/tau	PRK05563	37
PRK05571.1	ribose-5-phosphate isomerase B	PRK05571	1
PRK05580.1-3	primosomal protein N'	PRK05580	25
PRK05580.1-4	primosomal protein N'	PRK05580	5
PRK05580.1-5	primosomal protein N'	PRK05580	30
PRK05580.2-2	primosomal protein N'	PRK05580	3
PRK05581.1-4	ribulose-phosphate 3-epimerase	PRK05581	6
PRK05584.1	5'-methylthioadenosine/adenosylhomocysteine nucleosidase	PRK05584	7
PRK05586.1	acetyl-CoA carboxylase biotin carboxylase subunit	PRK05586	44
PRK05610.1	30S ribosomal protein S17	PRK05610	3
PRK05614.1	citrate synthase	PRK05614	2
PRK05618.2-4	50S ribosomal protein L25/general stress protein Ctc	PRK05618	1
PRK05621.2-1	F0F1 ATP synthase subunit gamma	PRK05621	20
PRK05627.1-3	bifunctional riboflavin kinase/FAD synthetase	PRK05627	1
PRK05627.1-4	bifunctional riboflavin kinase/FAD synthetase	PRK05627	6
PRK05632.1	phosphate acetyltransferase	PRK05632	1
PRK05644.1	DNA gyrase subunit B	PRK05644	51
PRK05653.1-5	3-oxoacyl-ACP reductase FabG	PRK05653	2
PRK05658.1	RNA polymerase sigma factor RpoD	PRK05658	10
PRK05673.1	DNA polymerase III subunit alpha	PRK05673	13
PRK05679.1	pyridoxal 5'-phosphate synthase	PRK05679	1
PRK05704.1	2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase	PRK05704	2
PRK05718.1	keto-hydroxyglutarate-aldolase/keto-deoxy-phosphogluconate aldolase	PRK05718	1
PRK05729.1	valine--tRNA ligase	PRK05729	58
PRK05738.2-1	50S ribosomal protein L23	PRK05738	1
PRK05748.1	replicative DNA helicase	PRK05748	46
PRK05755.1	DNA polymerase I	PRK05755	19
PRK05777.1-5	NADH-quinone oxidoreductase subunit NuoN	PRK05777	2
PRK05815.1-4	F0F1 ATP synthase subunit A	PRK05815	7
PRK05819.1	DeoD-type purine-nucleoside phosphorylase	PRK05819	15
PRK05820.1	thymidine phosphorylase	PRK05820	10
PRK05899.2-4	transketolase	PRK05899	12
PRK05901.1-3	RNA polymerase sigma factor	PRK05901	2
PRK05964.1	adenosylmethionine--8-amino-7-oxononanoate transaminase	PRK05964	1
PRK05974.1	phosphoribosylformylglycinamidine synthase subunit PurS	PRK05974	5
PRK06019.1-1	5-(carboxyamino)imidazole ribonucleotide synthase	PRK06019	8
PRK06078.1	pyrimidine-nucleoside phosphorylase	PRK06078	12
PRK06079.1	enoyl-ACP reductase FabI	PRK06079	26
PRK06128.1	SDR family oxidoreductase	PRK06128	4
PRK06299.1-4	30S ribosomal protein S1	PRK06299	2
PRK06299.1-5	30S ribosomal protein S1	PRK06299	4
PRK06333.1	beta-ketoacyl-ACP synthase	PRK06333	1
PRK06341.1	single-stranded DNA-binding protein	PRK06341	4
PRK06347.1	1,4-beta-N-acetylmuramoylhydrolase	PRK06347	6
PRK06349.1	homoserine dehydrogenase	PRK06349	2
PRK06354.1	pyruvate kinase	PRK06354	30
PRK06370.1-4	FAD-containing oxidoreductase	PRK06370	3
PRK06505.1	enoyl-ACP reductase FabI	PRK06505	2
PRK06550.1	3-oxoacyl-ACP reductase	PRK06550	5
PRK06552.1	bifunctional 2-keto-4-hydroxyglutarate aldolase/2-keto-3-deoxy-6-phosphogluconate aldolase	PRK06552	32
PRK06590.1	NADH-quinone oxidoreductase subunit L	PRK06590	2
PRK06596.1	RNA polymerase factor sigma-32	PRK06596	2
PRK06676.1	30S ribosomal protein S1	PRK06676	17
PRK06732.1	phosphopantothenate--cysteine ligase	PRK06732	12
PRK06751.1	single-stranded DNA-binding protein	PRK06751	7
PRK06826.1	DNA polymerase III subunit alpha	PRK06826	2
PRK06836.1	pyridoxal phosphate-dependent aminotransferase	PRK06836	2
PRK06920.1	DNA polymerase III subunit alpha	PRK06920	10
PRK07004.1	replicative DNA helicase	PRK07004	2
PRK07006.1	NADP-dependent isocitrate dehydrogenase	PRK07006	1
PRK07049.1	cystathionine gamma-synthase family protein	PRK07049	1
PRK07097.1	gluconate 5-dehydrogenase	PRK07097	22
PRK07107.1	IMP dehydrogenase	PRK07107	2
PRK07259.1	dihydroorotate dehydrogenase	PRK07259	31
PRK07275.1	single-stranded DNA-binding protein	PRK07275	41
PRK07279.1	DNA polymerase III subunit alpha	PRK07279	4
PRK07281.1	methionyl aminopeptidase	PRK07281	11
PRK07308.1	flavodoxin	PRK07308	11
