L1	L2	L3	ID	Function	EC	Gene	Count
Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis [PATH:ko00550]	K12556	Penicillin-binding protein 2X		pbp2X	6
Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance [PATH:ko01501]	K12556	Penicillin-binding protein 2X		pbp2X	6
Brite Hierarchies	Protein families: metabolism	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	K12556	Penicillin-binding protein 2X		pbp2X	6
Genetic Information Processing	Folding, sorting and degradation	RNA degradation [PATH:ko03018]	K12573	Ribonuclease R	3.1.13.1	rnr, vacB	7
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis [BR:ko03019]	K12573	Ribonuclease R	3.1.13.1	rnr, vacB	7
Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis [BR:ko03016]	K12573	Ribonuclease R	3.1.13.1	rnr, vacB	7
Genetic Information Processing	Folding, sorting and degradation	RNA degradation [PATH:ko03018]	K12574	Ribonuclease J	3.1.-.-	rnj	12
Brite Hierarchies	Protein families: genetic information processing	Messenger RNA biogenesis [BR:ko03019]	K12574	Ribonuclease J	3.1.-.-	rnj	12
Genetic Information Processing	Transcription	Spliceosome [PATH:ko03040]	K12733	Peptidyl-prolyl cis-trans isomerase-like 1	5.2.1.8	PPIL1	3
Brite Hierarchies	Protein families: genetic information processing	Spliceosome [BR:ko03041]	K12733	Peptidyl-prolyl cis-trans isomerase-like 1	5.2.1.8	PPIL1	3
Brite Hierarchies	Protein families: genetic information processing	Chaperones and folding catalysts [BR:ko03110]	K12733	Peptidyl-prolyl cis-trans isomerase-like 1	5.2.1.8	PPIL1	3
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K12950	Manganese-transporting P-type ATPase C	7.2.2.22	ctpC	2
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K12952	Cation-transporting P-type ATPase E	7.2.2.-	ctpE	11
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K12972	Glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	ghrA	4
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K12972	Glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	ghrA	4
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K12972	Glyoxylate/hydroxypyruvate reductase	1.1.1.79 1.1.1.81	ghrA	4
Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K12999	Glucosyltransferase	2.4.1.-	rgpI	4
Brite Hierarchies	Protein families: metabolism	Lipopolysaccharide biosynthesis proteins [BR:ko01005]	K13012	O-antigen biosynthesis protein WbqP		wbqP	19
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	2.6.1.98	wbpE, wlbC	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	2.6.1.98	wbpE, wlbC	1
Brite Hierarchies	Protein families: metabolism	Amino acid related enzymes [BR:ko01007]	K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase	2.6.1.98	wbpE, wlbC	1
Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis [PATH:ko00770]	K13038	Phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase	4.1.1.36 6.3.2.5	coaBC, dfp	3
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K13292	Phosphatidylglycerol---prolipoprotein diacylglyceryl transferase	2.5.1.145	lgt, umpA	1
Cellular Processes	Cell growth and death	Cell cycle - Caulobacter [PATH:ko04112]	K13583	GcrA cell cycle regulator		gcrA	2
